,wikidataUrl,titleLabel,materialLabel,genreLabel,collectionLabel,depicts,movement,subjectLabel,creatorBirthPlaceLabel,creatorCountry,creatorLabel,year,image,startTime,artworkLabel,locLabel,id,width,height
0,http://www.wikidata.org/entity/Q17494785,,oil paint; canvas,landscape art,Musée des Beaux-Arts de Bordeaux; Musée d'Orsay,Cagnes-sur-Mer; landscape; tree,Impressionism,,Limoges,France,Pierre-Auguste Renoir,1915,http://commons.wikimedia.org/wiki/Special:FilePath/Renoir%20-%20Paysage%20de%20Cagnes%2C%201915%20%28vers%29.jpg,{'nan'},Landscape of Cagnes,Musée des Beaux-Arts de Bordeaux,Q17494785,50.0,38.0
1,http://www.wikidata.org/entity/Q18177686,,oil paint; canvas,landscape art; mythological painting,Musée des Beaux-Arts de Bordeaux,dog; broad-leaved tree; Diana; landscape; woman; bathing; body of water; grove,Realism,,Paris; rue du Bac,France,Jean-Baptiste Camille Corot,1855,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20bain%20de%20Diane.jpg,{'nan'},Le Bain de Diane,Musée des Beaux-Arts de Bordeaux,Q18177686,257.5,168.8
2,http://www.wikidata.org/entity/Q18748034,,oil paint; canvas,portrait,Musée des Beaux-Arts de Bordeaux,man,Dutch Golden Age painting; Baroque,,Antwerp,Belgium,Frans Hals,1632,http://commons.wikimedia.org/wiki/Special:FilePath/Hals-HommeALaMainSurLeCoeur-Bordeaux.jpg,{'nan'},Portrait of a man with his hand on his heart,Musée des Beaux-Arts de Bordeaux,Q18748034,52.0,62.0
3,http://www.wikidata.org/entity/Q18815398,,wood; oil paint,landscape art; mythological painting,Musée des Beaux-Arts de Bordeaux,dog; oak; forest; sleep; Diana; landscape; nymph; body of water,Baroque,,Antwerp,Belgium,Abraham Govaerts,1614,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Govaerts%20Waldlandschaft%20mit%20Rast%20der%20Diana.jpg,{'nan'},Resting Diana,Musée des Beaux-Arts de Bordeaux,Q18815398,113.0,73.0
4,http://www.wikidata.org/entity/Q18815450,,oil paint; canvas,genre art; nude,Musée des Beaux-Arts de Bordeaux,squatting position; chestnut hair; washing; intergluteal cleft; eyebrow; hip; sitting; buttocks; rosacea; barefoot; gaze towards the viewer; chignon; kneeling; old age; pedicure; elderly people; toe; shoulder; back; woman; breast; waist; overweight; group of humans; window,Impressionism,,Paris,France,Albert Dagnaux,1918,http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Dagnaux%20-%20Lucette%20-%201918.jpg,{'nan'},Lucette,Musée des Beaux-Arts de Bordeaux,Q18815450,112.0,120.0
5,http://www.wikidata.org/entity/Q18818939,,oil paint; canvas,history painting,Musée des Beaux-Arts de Bordeaux,barque; Mathieu de Montmorency; man; crowd; feather; Pauillac; woman; Marie Thérèse Charlotte of France; bank; Gironde estuary,Pre-romanticism; neoclassicism,,Paris,France,Antoine-Jean Gros,1818,http://commons.wikimedia.org/wiki/Special:FilePath/Antoine-Jean%20Gros%20004.jpg,{'nan'},Q18818939,Musée des Beaux-Arts de Bordeaux,Q18818939,504.0,326.0
6,http://www.wikidata.org/entity/Q18818947,Bacchante lutinant une chèvre,oil paint; canvas,mythological painting; nude,Musée des Beaux-Arts de Bordeaux,Hedera; laurel wreath; glabrousness; eyebrow; drapery; dandelion; nudity; umbilicus; hip; ribbon; armpit; eye contact; barefoot; Bacchant; goat; steatomery; ear; areola; plant; Q3248828; lying; toe; malleolus; woman; smile; breast; waist; zoophilia; cone; rural area; nipple; sky; swagger stick,academic art; Pont-Aven School,,La Rochelle,France,William-Adolphe Bouguereau,1862,http://commons.wikimedia.org/wiki/Special:FilePath/Bouguereau%20-%20Bacchante%20lutinant%20une%20chevre%2C%201862.jpg,{'nan'},Bacchant,Musée des Beaux-Arts de Bordeaux,Q18818947,185.0,115.0
7,http://www.wikidata.org/entity/Q18818959,,oil paint; canvas,landscape art,Musée des Beaux-Arts de Bordeaux,péniche; island; Oise; landscape; barge; woman; laundry detergent; duck; grove; bank,Barbizon school,,Paris,France,Charles-François Daubigny,1859,http://commons.wikimedia.org/wiki/Special:FilePath/Charles-Fran%C3%A7ois%20Daubigny%20008.jpg,{'nan'},The Bank of the Oise River,Musée des Beaux-Arts de Bordeaux,Q18818959,213.0,122.0
8,http://www.wikidata.org/entity/Q18822199,,oil paint; canvas,mythological painting,Musée des Beaux-Arts de Bordeaux,Laocoön; snake; pain; cadaver,Baroque painting,,Haarlem,Netherlands,Pieter Soutman,1610,http://commons.wikimedia.org/wiki/Special:FilePath/Claesz%20Soutman%20Laoco%C3%B6n.jpg,{'nan'},Laocoön and His Sons Bitten by Snakes,Musée des Beaux-Arts de Bordeaux,Q18822199,237.0,185.0
9,http://www.wikidata.org/entity/Q18822222,Phrosine et Mélidore,oil paint; canvas,genre art; nude,Musée des Beaux-Arts de Bordeaux,man; Mélidore et Phrosine; woman; clothing; nudity; cadaver,Naturalism,,Paris,France,Édouard Joseph Dantan,1878,http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Dantan%20Phrosine%20et%20M%C3%A9lidore%20after%20Prud%27hon.jpg,{'nan'},Phrosine and Mélidore,Musée des Beaux-Arts de Bordeaux,Q18822222,140.0,200.0
