,artwork,titleLabel,materialLabel,genreLabel,collectionLabel,depictLabel,movementLabel,subjectLabel,creatorBirthPlaceLabel,creatorCountryLabel,creatorLabel,genderLabel,inceptionLabel,widthLabel,heightLabel,image,startTime,artworkLabel,locLabel,locatedLabel,endTime,countryLabel,instanceOfLabel,num_creators
0,http://www.wikidata.org/entity/Q17494785,,oil paint; canvas,landscape art,Musée des Beaux-Arts de Bordeaux; Musée d'Orsay,Cagnes-sur-Mer; landscape; tree,Impressionism,,Limoges,France,Pierre-Auguste Renoir,male,1915,[50.0],[38.0],http://commons.wikimedia.org/wiki/Special:FilePath/Renoir%20-%20Paysage%20de%20Cagnes%2C%201915%20%28vers%29.jpg,{'nan'},Landscape of Cagnes,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
1,http://www.wikidata.org/entity/Q18177686,,oil paint; canvas,landscape art; mythological painting,Musée des Beaux-Arts de Bordeaux,dog; broad-leaved tree; Diana; landscape; woman; bathing; body of water; grove,Realism,,Paris; rue du Bac,France,Jean-Baptiste Camille Corot,male,1855,[257.5],[168.8],http://commons.wikimedia.org/wiki/Special:FilePath/Le%20bain%20de%20Diane.jpg,{'nan'},Le Bain de Diane,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
2,http://www.wikidata.org/entity/Q18748034,,oil paint; canvas,portrait,Musée des Beaux-Arts de Bordeaux,man,Dutch Golden Age painting; Baroque,,Antwerp,Belgium,Frans Hals,male,1632,[52.0],[62.0],http://commons.wikimedia.org/wiki/Special:FilePath/Hals-HommeALaMainSurLeCoeur-Bordeaux.jpg,{'nan'},Portrait of a man with his hand on his heart,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
3,http://www.wikidata.org/entity/Q18815398,,wood; oil paint,landscape art; mythological painting,Musée des Beaux-Arts de Bordeaux,dog; oak; forest; sleep; Diana; landscape; nymph; body of water,Baroque,,Antwerp,Belgium,Abraham Govaerts,male,1614,[113.0],[73.0],http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Govaerts%20Waldlandschaft%20mit%20Rast%20der%20Diana.jpg,{'nan'},Resting Diana,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
4,http://www.wikidata.org/entity/Q18815450,,oil paint; canvas,genre art; nude,Musée des Beaux-Arts de Bordeaux,squatting position; chestnut hair; washing; intergluteal cleft; eyebrow; hip; sitting; buttocks; rosacea; barefoot; gaze towards the viewer; chignon; kneeling; old age; pedicure; elderly people; toe; shoulder; back; woman; breast; waist; overweight; group of humans; window,Impressionism,,Paris,France,Albert Dagnaux,male,1918,[112.0],[120.0],http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Dagnaux%20-%20Lucette%20-%201918.jpg,{'nan'},Lucette,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
5,http://www.wikidata.org/entity/Q18818939,,oil paint; canvas,history painting,Musée des Beaux-Arts de Bordeaux,barque; Mathieu de Montmorency; man; crowd; feather; Pauillac; woman; Marie Thérèse Charlotte of France; bank; Gironde estuary,Pre-romanticism; neoclassicism,,Paris,France,Antoine-Jean Gros,male,1818,[504.0],[326.0],http://commons.wikimedia.org/wiki/Special:FilePath/Antoine-Jean%20Gros%20004.jpg,{'nan'},Q18818939,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
6,http://www.wikidata.org/entity/Q18818947,Bacchante lutinant une chèvre,oil paint; canvas,mythological painting; nude,Musée des Beaux-Arts de Bordeaux,Hedera; laurel wreath; glabrousness; eyebrow; drapery; dandelion; nudity; umbilicus; hip; ribbon; armpit; eye contact; barefoot; Bacchant; goat; steatomery; ear; areola; plant; Q3248828; lying; toe; malleolus; woman; smile; breast; waist; zoophilia; cone; rural area; nipple; sky; swagger stick,academic art; Pont-Aven School,,La Rochelle,France,William-Adolphe Bouguereau,male,1862,[185.0],[115.0],http://commons.wikimedia.org/wiki/Special:FilePath/Bouguereau%20-%20Bacchante%20lutinant%20une%20chevre%2C%201862.jpg,{'nan'},Bacchant,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
7,http://www.wikidata.org/entity/Q18818959,,oil paint; canvas,landscape art,Musée des Beaux-Arts de Bordeaux,péniche; island; Oise; landscape; barge; woman; laundry detergent; duck; grove; bank,Barbizon school,,Paris,France,Charles-François Daubigny,male,1859,[213.0],[122.0],http://commons.wikimedia.org/wiki/Special:FilePath/Charles-Fran%C3%A7ois%20Daubigny%20008.jpg,{'nan'},The Bank of the Oise River,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
8,http://www.wikidata.org/entity/Q18822199,,oil paint; canvas,mythological painting,Musée des Beaux-Arts de Bordeaux,Laocoön; snake; pain; cadaver,Baroque painting,,Haarlem,Netherlands,Pieter Soutman,male,1610,[237.0],[185.0],http://commons.wikimedia.org/wiki/Special:FilePath/Claesz%20Soutman%20Laoco%C3%B6n.jpg,{'nan'},Laocoön and His Sons Bitten by Snakes,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
9,http://www.wikidata.org/entity/Q18822222,Phrosine et Mélidore,oil paint; canvas,genre art; nude,Musée des Beaux-Arts de Bordeaux,man; Mélidore et Phrosine; woman; clothing; nudity; cadaver,Naturalism,,Paris,France,Édouard Joseph Dantan,male,1878,[140.0],[200.0],http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Dantan%20Phrosine%20et%20M%C3%A9lidore%20after%20Prud%27hon.jpg,{'nan'},Phrosine and Mélidore,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
10,http://www.wikidata.org/entity/Q18822239,,oil paint; canvas,mythological painting,Musée des Beaux-Arts de Bordeaux,toplessness; flower; wreath; landscape; woman; nudity; breast; sitting; crown; Flora,Rococo,,Malmö Sankt Petri församling,Sweden,Alexander Roslin,male,1750,[72.5],[91.5],http://commons.wikimedia.org/wiki/Special:FilePath/Flora%20%28Museum%20of%20Bordeaux%29.jpg,{'nan'},Flora,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
11,http://www.wikidata.org/entity/Q18822246,,oil paint; canvas,genre art,Musée des Beaux-Arts de Bordeaux,peasant; man; Lot-et-Garonne; field; boy; plough; woman; ox; family; teaching; tillage; girl,neoclassicism,,Paris,France,François-André Vincent,male,1798,[313.0],[213.0],http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois-Andr%C3%A9%20Vincent%20-%20La%20Le%C3%A7on%20de%20labourage.gif,{'nan'},The Ploughing Lesson,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
12,http://www.wikidata.org/entity/Q18822258,,oil paint; canvas,genre art,Musée des Beaux-Arts de Bordeaux,reading; theologian; man; public lecture; discussion,Baroque,,Naples,Italy,Luca Giordano,male,1650,[177.0],[122.0],http://commons.wikimedia.org/wiki/Special:FilePath/Giordano-Th%C3%A9ologiens-Bordeaux.jpg,{'nan'},Assembly of Religious Persons,Musée des Beaux-Arts de Bordeaux,Bordeaux,,France,painting,1
13,http://www.wikidata.org/entity/Q18822294,,oil paint; canvas,landscape art,Musée des Beaux-Arts de Bordeaux,laundering; waterfall; landscape; rock; woman; laundry detergent,Rococo,,Lyon,France,Jean-Baptiste Pillement,male,1792,[68.0],[45.0],http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste%20Pillement%20-%20Landscape%20with%20Washerwomen%20-%20WGA17745.jpg,{'nan'},The Launderers,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
14,http://www.wikidata.org/entity/Q18822299,,oil paint; canvas,history painting,Musée des Beaux-Arts de Bordeaux,"judge; minister; couch; Ahmed III; ambassador; Turkey; Ibrahim Pasha of Egypt; clothing; embassy; admiral; Charles Marie François Olier, marquis de Nointel; Mehmed IV; Jean-Baptiste Louis Picon; banquet; sovereign",Orientalism,,Valenciennes,France,Jean Baptiste Vanmour,male,1724,[121.5],[90.0],http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste%20van%20Mour%20007.jpg,{'nan'},Q18822299,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
15,http://www.wikidata.org/entity/Q18822365,"L'ete, Ceres",oil paint; canvas,allegory; mythological painting,Musée des Beaux-Arts de Bordeaux,sickle; toplessness; plain; bread; field; landscape; woman; nudity; Ceres; grain harvest; allegory; basket; summer,Realism,,Gréville-Hague,France,Jean-François Millet,male,1865,[134.0],[266.0],http://commons.wikimedia.org/wiki/Special:FilePath/L%27ete%2C%20Ceres%20-%20Jean-Fran%C3%A7ois%20Millet%20%281864-1865%29.jpg,{'nan'},"Summer, Ceres",Musée des Beaux-Arts de Bordeaux,,,France,painting,1
16,http://www.wikidata.org/entity/Q18822383,,oil paint; canvas,genre art,Musée des Beaux-Arts de Bordeaux,judge; throne; reading; fauteuil; Inquisitión; Tomás de Torquemada; public lecture; Sixtus IV; pope,academic art,,Fourquevaux,France,Jean-Paul Laurens,male,1882,[134.0],[113.0],http://commons.wikimedia.org/wiki/Special:FilePath/Le%20grand%20inquisiteur.jpg,{'nan'},The Pope and the Inquisitor,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
17,http://www.wikidata.org/entity/Q18822420,,oil paint; canvas,landscape art,Musée des Beaux-Arts de Bordeaux,forest; landscape; Forest of Fontainebleau; Fontainebleau; path; human,Barbizon school,,Bordeaux,France,Narcisse Virgilio Díaz,male,1867,[92.0],[72.0],http://commons.wikimedia.org/wiki/Special:FilePath/Narcisse%20Virgile%20Diaz%20de%20la%20Pe%C3%B1a%20-%20The%20Forest%20in%20Fontainebleau%20-%20WGA06332.jpg,{'nan'},The Forest of Fontainebleau,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
18,http://www.wikidata.org/entity/Q18822436,,oil paint; canvas,religious art,Musée des Beaux-Arts de Bordeaux,well; dromedary; Eliezer; Camelus; bijou; Rebecca; woman; gift,Rococo; Baroque,,Venice,Italy,Giambattista Pittoni,male,1750,[130.0],[68.0],http://commons.wikimedia.org/wiki/Special:FilePath/Pittoni%2C%20Giambattista%20-%20Eliezer%20and%20Rebecca%20-%2018th%20c.jpg,{'nan'},Eliezer and Rebecca (Pittoni),Musée des Beaux-Arts de Bordeaux,,,France,painting,1
19,http://www.wikidata.org/entity/Q18822484,,oil paint; cardboard,portrait; nude,Musée des Beaux-Arts de Bordeaux,sky; man; angel; nudity; cloud; wing,Symbolism,,Bordeaux,France,Odilon Redon,male,1890,[33.5],[24.0],http://commons.wikimedia.org/wiki/Special:FilePath/Redon%20winged-man.jpg,{'nan'},The Winged Man,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
20,http://www.wikidata.org/entity/Q18822508,,oil paint; canvas,history painting,Musée des Beaux-Arts de Bordeaux,"official; minister; Ahmed III; ambassador; Ibrahim Pasha of Egypt; clothing; embassy; Charles Marie François Olier, marquis de Nointel; Mehmed IV; Jean-Baptiste Louis Picon; sovereign",Orientalism,,Valenciennes,France,Jean Baptiste Vanmour,male,1724,[121.5],[90.0],http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste%20van%20Mour%20006.jpg,{'nan'},Q18822508,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
21,http://www.wikidata.org/entity/Q18822515,,oil paint; canvas,genre art,Musée des Beaux-Arts de Bordeaux,tomb; winter; sky; widow; flower; mourning; wreath; landscape; widowhood; family; woman; cloud; crown; tree,Pont-Aven School; academic art,,La Rochelle,France,William-Adolphe Bouguereau,male,1859,[120.0],[147.0],http://commons.wikimedia.org/wiki/Special:FilePath/William-Adolphe%20Bouguereau%20%281825-1905%29%20-%20The%20Day%20of%20the%20Dead%20%281859%29.jpg,{'nan'},The Day of the Dead,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
22,http://www.wikidata.org/entity/Q3181999,La Grèce sur les ruines de Missolonghi,oil paint; canvas,allegory,Musée des Beaux-Arts de Bordeaux,fatherland; private; soldier; Greece; Missolonghi; décolletage; kneeling; long hair; woman; ruins; black hair; personification; cadaver; cleavage; turban; belt,Romanticism,,Saint-Maurice,France,Eugène Delacroix,male,1826,[147.0],[208.0],http://commons.wikimedia.org/wiki/Special:FilePath/La%20Gr%C3%A8ce%20sur%20les%20ruines%20de%20Missolonghi.jpg,{'nan'},Greece on the Ruins of Missolonghi,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
23,http://www.wikidata.org/entity/Q3207267,The Lion Hunt,oil paint; canvas,genre art,Musée des Beaux-Arts de Bordeaux,horse; sea; sky; spear; man; shield; lion; dune; hunting; sabre; cadaver; cloud; shore; scimitar,Romanticism,hunting,Saint-Maurice,France,Eugène Delacroix,male,1855,[115.0],[86.0],http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20Delacroix%20-%20The%20Lion%20Hunt%20-%20Google%20Art%20Project.jpg,{'nan'},La Chasse aux lions,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
24,http://www.wikidata.org/entity/Q3828749,Les Fraises,oil paint; canvas,still life,Musée d'Orsay,strawberry; leaf; tablecloth; fruit; table,Impressionism,,Limoges,France,Pierre-Auguste Renoir,male,1908,[43.0],[20.0],http://commons.wikimedia.org/wiki/Special:FilePath/Pierre-Auguste%20Renoir%20-%20Les%20Fraises.jpg,{'1961'},Q3828749,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
25,http://www.wikidata.org/entity/Q3888853,,oil paint; canvas,landscape art,Musée des Beaux-Arts de Bordeaux; Musée d'Orsay,meadow; house; landscape; Île-de-France,Impressionism; pointillism,,Paris,France,Georges Seurat,male,1881,[40.7],[32.5],http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20Seurat%20-%20Paysage%20d%27%C3%8Ele-de-France.jpg,{'nan'},Paysage d'Ile de France,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
26,http://www.wikidata.org/entity/Q3937625,,oil paint; canvas,portrait,Musée des Beaux-Arts de Bordeaux,dog; Scheldt; flower; Marie de' Medici; woman; church building; crown; rose; Antwerp,Baroque painting,,Antwerp,Belgium,Anthony van Dyck,male,1631,[140.0],[225.0],http://commons.wikimedia.org/wiki/Special:FilePath/Maria%20de%27%20Medici%20by%20Anthony%20van%20Dyck.jpg,{'nan'},Portrait of Marie de' Medici,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
27,http://www.wikidata.org/entity/Q47156793,,oil paint; canvas,still life,Musée des Beaux-Arts de Bordeaux,mazagran; coffeepot,fauvism,,Bordeaux,France,Albert Marquet,male,1902,[46.0],[55.0],http://commons.wikimedia.org/wiki/Special:FilePath/The%20Coffeepot%20Albert%20Marquet%20%281902%29.jpg,{'nan'},The Coffeepot,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
28,http://www.wikidata.org/entity/Q47263482,,oil paint; canvas,nude,Musée des Beaux-Arts de Bordeaux,woman; nudity; painter,fauvism,,Bordeaux,France,Albert Marquet,male,1898,[50.0],[73.0],http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Marquet%2C%201898%20-%20Nu%20fauve.jpg,{'nan'},Life Class at the École des Beaux-Arts,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
29,http://www.wikidata.org/entity/Q47296691,,oil paint; canvas,self-portrait,Musée des Beaux-Arts de Bordeaux,Albert Marquet; painter,fauvism,Albert Marquet,Bordeaux,France,Albert Marquet,male,1904,[38.0],[46.0],http://commons.wikimedia.org/wiki/Special:FilePath/Self-Portrait%20Albert%20Marquet%20%281904%29.jpg,{'nan'},"Self-Portrait, 1904",Musée des Beaux-Arts de Bordeaux,,,France,painting,1
30,http://www.wikidata.org/entity/Q47455504,,oil paint; canvas,portrait,Musée des Beaux-Arts de Bordeaux,woman; Marcelle Marquet,fauvism,Marcelle Marquet,Bordeaux,France,Albert Marquet,male,1931,[50.0],[61.0],http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Marquet%2C%201931%20-%20Portrait%20de%20Marcelle%20Marquet.jpg,{'nan'},Portrait of Marcelle Marquet,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
31,http://www.wikidata.org/entity/Q49019670,,oil paint; canvas,portrait,Musée des Beaux-Arts de Bordeaux,sitting; woman; shawl; Gabrielle Bernheim,Impressionism; Les Nabis,,Lausanne,Switzerland,Félix Vallotton,male,1905,[116.0],[89.0],http://commons.wikimedia.org/wiki/Special:FilePath/Gabrielle%20Vallotton.jpg,{'nan'},Q49019670,Musée des Beaux-Arts de Bordeaux,,,France,painting,1
