,artwork,titleLabel,materialLabel,genreLabel,collectionLabel,depictLabel,movementLabel,subjectLabel,creatorBirthPlaceLabel,creatorCountryLabel,creatorLabel,genderLabel,inceptionLabel,widthLabel,heightLabel,image,startTime,artworkLabel,locLabel,locatedLabel,endTime,countryLabel,instanceOfLabel,num_creators
0,http://www.wikidata.org/entity/Q12901580,Une après-dinée à Ornans,oil paint; canvas,genre art,Collection of paintings of the Palais des Beaux-Arts de Lille,chair; dog; man; pipe; drinking glass; table; violin,Realism,,Ornans,France,Gustave Courbet,male,1849,[257.0],[195.0],http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Courbet%20031.jpg,{'nan'},After Dinner at Ornans,Palais des Beaux-Arts de Lille,,,France,painting,1
1,http://www.wikidata.org/entity/Q16011124,,oil paint; canvas,religious art; still life,Collection of paintings of the Palais des Beaux-Arts de Lille,Jesus; Descent from the Cross; woman; Joseph of Arimathea; Virgin Mary; John the Apostle; Mary Magdalene; Nicodemus; goldsmithing; platter; Mary of Clopas,Flemish Baroque painting,Descent from the Cross,Siegen,Germany,Peter Paul Rubens,male,1617,[295.0],[425.0],http://commons.wikimedia.org/wiki/Special:FilePath/La%20descente%20de%20croix%20Rubens.jpg,{'nan'},The Descent from the Cross,Palais des Beaux-Arts de Lille,,,France,painting,1
2,http://www.wikidata.org/entity/Q16011494,,oil paint; canvas,history painting,Collection of paintings of the Palais des Beaux-Arts de Lille,jealousy; cave; nudity; poignard; murder; child; Medea,Romanticism,,Saint-Maurice,France,Eugène Delacroix,male,1836,[165.0],[260.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20delacroix%20medee.JPG,{'nan'},Medea (Delacroix),Palais des Beaux-Arts de Lille,,,France,painting,1
3,http://www.wikidata.org/entity/Q16070465,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,long hair; cabin; vase; bird's wing; mortification of the flesh; tree; toplessness; human skull; skull; male toplessness; broad-leaved tree; ecstasy; woman; thatching; brown hair; blond hair; shirt; angel; Mary Magdalene; barefoot; rock,Flemish Baroque painting,Penitent Magdalene,Siegen,Germany,Peter Paul Rubens,male,1620,[220.0],[295.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20Pdba%20rubens%20marie%20madeleine.JPG,{'nan'},St Mary Magdalene in Ecstacy,Palais des Beaux-Arts de Lille,,,France,painting,1
5,http://www.wikidata.org/entity/Q17490716,"Apres le bain, les nymphes",oil paint; canvas,figure painting,Musée d'Orsay; Collection of paintings of the Palais des Beaux-Arts de Lille,nudity; bathing; broad-leaved tree; woman,Les Nabis; Orientalism; pointillism; Pont-Aven School; synthetism; Cloisonnism,,Lille,France,Émile Bernard,male,1908,[151.0],[121.0],http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89mile%20Bernard%20Apres%20le%20bain%20les%20nymphes%201908.jpg,{'nan'},Q17490716,Palais des Beaux-Arts de Lille,,,France,painting,1
7,http://www.wikidata.org/entity/Q17491524,,oil paint; cardboard,still life,Musée d'Orsay; Collection of paintings of the Palais des Beaux-Arts de Lille,vase; art of painting; bouquet; flower,japonism; Post-Impressionism,,Cuiseaux,France,Édouard Vuillard,male,1904,[58.0],[60.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20vuillard%20fleurs.JPG,{'nan'},Q17491524,Palais des Beaux-Arts de Lille,,,France,painting,1
9,http://www.wikidata.org/entity/Q17491946,,oil paint; canvas,landscape art,Musée d'Orsay; Collection of paintings of the Palais des Beaux-Arts de Lille,landscape; ice; Seine; house; winter; river ice break-up,Impressionism,,Paris,France,Claude Monet,male,1880,[99.5],[72.5],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20monet%20la%20debacle.JPG,{'nan'},"Debacle at Vétheuil, View of Lavacourt",Palais des Beaux-Arts de Lille,,,France,painting,1
11,http://www.wikidata.org/entity/Q17493295,,oil paint; canvas,figure painting,Musée d'Orsay; Collection of paintings of the Palais des Beaux-Arts de Lille,human; chiaroscuro; sky; cloud; gaze,Symbolism,,Bordeaux,France,Odilon Redon,male,1910,[91.8],[73.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20redon%20regard.JPG,{'nan'},Q17493295,Palais des Beaux-Arts de Lille,,,France,painting,1
13,http://www.wikidata.org/entity/Q17493361,,oil paint; cardboard,figure painting,Musée d'Orsay; Collection of paintings of the Palais des Beaux-Arts de Lille,silence; face; headscarf,Symbolism,,Bordeaux,France,Odilon Redon,male,1895,[27.0],[34.8],http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Silence%20O%20Redon%20Lille%202918.jpg,{'nan'},Q17493361,Palais des Beaux-Arts de Lille,,,France,painting,1
17,http://www.wikidata.org/entity/Q17494548,Nymphe enlevée par un faune,oil paint; canvas,nude; mythological painting,Musée d'Orsay; Collection of paintings of the Palais des Beaux-Arts de Lille,nymph; long hair; faun; plant; kidnapping; flower; combat; herb; Pan flute; armpit; laurel wreath; crown; breast; broad-leaved tree; nudity; woman; sky; grass; brown hair; blond hair; umbilicus; drapery; rural area; satyr,academic art,,Montpellier,France,Alexandre Cabanel,male,1860,[1.42],[2.43],http://commons.wikimedia.org/wiki/Special:FilePath/Nymphe%20et%20Saty%20%28Alexandre%20Cabanel%29%201860.JPG,"{'1881', '1885'}",Nymph abducted by a faun,Palais des Beaux-Arts de Lille,,,France,painting,1
