,artwork,titleLabel,materialLabel,genreLabel,collectionLabel,depictLabel,movementLabel,subjectLabel,creatorBirthPlaceLabel,creatorCountryLabel,creatorLabel,genderLabel,inceptionLabel,widthLabel,heightLabel,image,startTime,artworkLabel,locLabel,locatedLabel,endTime,countryLabel,instanceOfLabel,num_creators
0,http://www.wikidata.org/entity/Q17027738,La Lecture.,oil paint; canvas,genre art,Museum of Fine Arts of Lyon,sitting; table; vase; tablecloth; dress; bouquet; black hair; door; book; flower; long hair; blond hair; woman; entertainment; Charlotte Dubourg; reading,Realism,,Grenoble,France,Henri Fantin-Latour,male,1877,[130.0],[97.0],http://commons.wikimedia.org/wiki/Special:FilePath/Fantin-Latour-La%20Lecture-Lyon.jpg,{'nan'},The Reading,Museum of Fine Arts of Lyon,,,France,painting,1
1,http://www.wikidata.org/entity/Q17175813,,canvas,history painting,Museum of Fine Arts of Lyon,Arsinoe IV of Egypt; dress; walking; sceptre; tree; Julius Caesar; helmet; cuirass; military personnel; platform; drapery; vespaio; cloud; aquila; sky; spear; column; chignon; bracelet; brown hair; throne; overcoat; domestic worker; blond hair; sandal; Cleopatra; man; laurel wreath; contrapposto; clothing in ancient Rome; crown; earring; woman,Baroque,,Cortona,Italy,Pietro da Cortona,male,1637,[267.0],[255.0],http://commons.wikimedia.org/wiki/Special:FilePath/C%C3%A9sar%20remet%20Cl%C3%A9op%C3%A2tre%20sur%20le%20tr%C3%B4ne%20d%27%C3%89gypte%20-%20Pierre%20de%20Cortone.jpg,{'nan'},Caesar Giving Cleopatra the Throne of Egypt,Museum of Fine Arts of Lyon,,,France,painting,1
2,http://www.wikidata.org/entity/Q17278700,,oil paint; canvas,religious art,Museum of Fine Arts of Lyon,prison visit; Alice More; family; book; Thomas More; prison,academic art,,Lyon,France,Claudius Jacquand,male,1828,[99.5],[120.5],http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20More%2C%20grand%20chancelier%20d%27Angleterre%20by%20Claudius%20Jacquand%20portrait.jpg,{'nan'},"Thomas More, Lord High Chancellor of England",Museum of Fine Arts of Lyon,,,France,painting,1
3,http://www.wikidata.org/entity/Q17490813,Baigneurs,oil paint; canvas,figure painting,Musée d'Orsay,nudity; bathing; river,Post-Impressionism,,Aix-en-Provence,France,Paul Cézanne,male,1892,[32.0],[22.0],http://commons.wikimedia.org/wiki/Special:FilePath/C%C3%A9zanne-Baigneurs-MBA-Lyon.jpg,{'nan'},Baigneurs (Bathers),Museum of Fine Arts of Lyon,,,France,painting,1
4,http://www.wikidata.org/entity/Q19947558,La Lumière du monde,oil paint; canvas,religious art,Department of Paintings of the Louvre; Museum of Fine Arts of Lyon,angel; Nativity of Jesus,Rococo,Nativity of Jesus,Paris,France,François Boucher,male,1750,[130.0],[175.0],http://commons.wikimedia.org/wiki/Special:FilePath/La%20Lumi%C3%A8re%20du%20monde%20-%20Fran%C3%A7ois%20Boucher%20%281955-106%29.jpg,{'nan'},The Light of the World,Museum of Fine Arts of Lyon,,,France,painting,1
5,http://www.wikidata.org/entity/Q19947579,,oil paint; canvas,religious art,Museum of Fine Arts of Lyon,Nile; Moses; broad-leaved tree; bridge; baby,Q3578530; Mannerism,Finding of Moses,Verona,Italy,Paolo Veronese,male,1575,[115.0],[129.5],http://commons.wikimedia.org/wiki/Special:FilePath/Mo%C3%AFse%20sauv%C3%A9%20des%20eaux%20-%20V%C3%A9ron%C3%A8se%20%28A%2066%29.jpg,{'nan'},The Finding of Moses,Museum of Fine Arts of Lyon,,,France,painting,1
6,http://www.wikidata.org/entity/Q19947675,Les saints préservant le monde de la colère du Christ,oil paint; canvas,religious art,Museum of Fine Arts of Lyon,Saint Dominic; Francis of Assisi,Flemish Baroque painting,,Siegen,Germany,Peter Paul Rubens,male,1620,[365.0],[565.0],http://commons.wikimedia.org/wiki/Special:FilePath/Les%20saints%20pr%C3%A9servant%20le%20monde%20de%20la%20col%C3%A8re%20du%20Christ%20-%20Peter%20Paul%20Rubens%20%28A%20194%29.jpg,{'nan'},The saints preserving the world from the wrath of Christ,Museum of Fine Arts of Lyon,,,France,painting,1
7,http://www.wikidata.org/entity/Q19947676,Saint Francis Standing,oil paint; canvas,religious art,Museum of Fine Arts of Lyon,Order of Friars Minor; man; Francis of Assisi,Baroque,Francis of Assisi,Fuente de Cantos,Spain,Francisco de Zurbarán,male,1659,[106.0],[197.0],http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Fran%C3%A7ois%20d%27Assise%20-%20Francisco%20de%20Zurbaran%20%28A%20115%29.jpg,{'nan'},Saint Francis of Assisi,Museum of Fine Arts of Lyon,,,France,painting,1
8,http://www.wikidata.org/entity/Q20963061,,oil paint,landscape art,Museum of Fine Arts of Lyon,waterfall; mountain; pine tree; castle,Baroque painting,,Haarlem,Netherlands,Jacob van Ruisdael,male,1660,[99.3],[126.0],http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20van%20Ruisdael%20-%20Castle%20on%20a%20Mountain%20with%20a%20Waterfall%20and%20Pine%20trees.jpg,{'nan'},Castle on a Mountain with a Waterfall and Pine trees,Museum of Fine Arts of Lyon,,,France,painting,1
9,http://www.wikidata.org/entity/Q22965178,Femme caressant un perroquet,oil paint; canvas,nude,Museum of Fine Arts of Lyon,drapery; Psittacidae; naked woman; woman; parrot,Romanticism,,Saint-Maurice,France,Eugène Delacroix,male,1827,[32.5],[24.5],http://commons.wikimedia.org/wiki/Special:FilePath/Delacroix%2C%20Eug%C3%A8ne%20Ferdinand%20Victor%20-%20Woman%20with%20a%20Parrot%20-%201827.jpg,{'nan'},Woman with a Parrot,Museum of Fine Arts of Lyon,,,France,painting,1
10,http://www.wikidata.org/entity/Q23017574,,oil paint; canvas,religious art,Museum of Fine Arts of Lyon,Assumption of Mary; angel,Baroque,Assumption of Mary,Bologna,Italy,Guido Reni,male,1637,[161.0],[242.0],http://commons.wikimedia.org/wiki/Special:FilePath/Asumption%20of%20the%20Virgin-Guido%20Reni-MBA%20Lyon%20A123-IMG%200329.jpg,{'nan'},Assumption of the Virgin,Museum of Fine Arts of Lyon,,,France,painting,1
11,http://www.wikidata.org/entity/Q23017689,,oil paint; canvas,self-portrait,Museum of Fine Arts of Lyon,Simon Vouet; beard; man; painter,Baroque painting,Simon Vouet,Paris,France,Simon Vouet,male,1626,[36.5],[45.0],http://commons.wikimedia.org/wiki/Special:FilePath/Vouet-autoportrait-lyon.jpg,{'nan'},Self-portrait,Museum of Fine Arts of Lyon,,,France,painting,1
12,http://www.wikidata.org/entity/Q23199068,,oil paint; canvas,self-portrait,Museum of Fine Arts of Lyon,beard; couple; tree; sky; woman,Realism,Gustave Courbet,Ornans,France,Gustave Courbet,male,1844,[60.0],[77.0],http://commons.wikimedia.org/wiki/Special:FilePath/Courbet-Amants-Lyon.jpg,{'nan'},The Happy Lovers,Museum of Fine Arts of Lyon,,,France,painting,1
13,http://www.wikidata.org/entity/Q23926235,,oil paint; canvas,portrait,Museum of Fine Arts of Lyon,hat,Impressionism,,Paris,France,Édouard Manet,male,1878,[50.5],[61.0],http://commons.wikimedia.org/wiki/Special:FilePath/Manet-Marguerite-Gauthier-Lyon.jpg,{'nan'},Portrait of Marguerite Gauthier-Lathuille,Museum of Fine Arts of Lyon,,,France,painting,1
15,http://www.wikidata.org/entity/Q23990103,,oil paint; canvas,portrait,Department of Paintings of the Louvre; Museum of Fine Arts of Lyon; Gallery Prince Willem V,lion; flower; orange; William III; cravat; boy,Baroque,,Schipluiden,Netherlands,Jan Vermeer van Utrecht,male,1659,[108.0],[132.0],http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20davids%20de%20heem-fleurs%20avec%20portrait%20guillaume%20III%20d%27Orange.jpg,{'nan'},"Flower garland with portrait of William III of Orange, aged 10",Museum of Fine Arts of Lyon,,,France,painting,1
16,http://www.wikidata.org/entity/Q24930037,,oil paint; panel,portrait,Museum of Fine Arts of Lyon,woman; bijou,German Renaissance,,Kronach,Germany,Lucas Cranach the Elder,male,1534,[37.5],[53.0],http://commons.wikimedia.org/wiki/Special:FilePath/Cranach-lyon.jpg,{'nan'},Portrait of a Saxon Noblewoman,Museum of Fine Arts of Lyon,,,France,painting,1
17,http://www.wikidata.org/entity/Q24930946,,oil paint; canvas,portrait,Museum of Fine Arts of Lyon,beard; painter,Realism,,Ornans,France,Gustave Courbet,male,1869,[46.0],[54.0],http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Courbet%20-%20Portrait%20of%20Chenavard%20-%20WGA5497.jpg,{'nan'},Portrait of Paul Chenavard,Museum of Fine Arts of Lyon,,,France,painting,1
18,http://www.wikidata.org/entity/Q25395402,,wood; tempera,religious art,Museum of Fine Arts of Lyon,Holy Family,Italian Renaissance,Nativity of Jesus,Ferrara,Italy,Lorenzo Costa,male,1450,[82.0],[62.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lorenzo%20Costa%20-%20Nativity%20-%20WGA5430.jpg,{'nan'},Holy Family (Nativity),Museum of Fine Arts of Lyon,,,France,painting,1
