,artwork,titleLabel,materialLabel,genreLabel,collectionLabel,depictLabel,movementLabel,subjectLabel,creatorBirthPlaceLabel,creatorCountryLabel,creatorLabel,genderLabel,inceptionLabel,widthLabel,heightLabel,image,startTime,artworkLabel,locLabel,locatedLabel,endTime,countryLabel,instanceOfLabel,num_creators
0,http://www.wikidata.org/entity/Q17490764,,canvas; oil paint,figure painting,Musée d'Orsay,mirror image; mirror; moustache; bar; table; clothing; hat,Impressionism,,Paris,France,Gustave Caillebotte,male,1880,[115.0],[155.0],http://commons.wikimedia.org/wiki/Special:FilePath/G.%20Caillebotte%20-%20Dans%20un%20caf%C3%A9.jpg,{'nan'},Q17490764,Musée des Beaux-Arts de Rouen,,,France,painting,1
1,http://www.wikidata.org/entity/Q17490875,,canvas; oil paint,portrait,Musée d'Orsay; Musée des Beaux-Arts de Rouen,Blanche Hoschedé Monet,Impressionism,,Paris,France,Claude Monet,male,1880,[38.0],[46.0],http://commons.wikimedia.org/wiki/Special:FilePath/Monet%20-%20Wildenstein%201996%2C%20619.png,{'nan'},Blanche Hoschedé as a Child,Musée des Beaux-Arts de Rouen,,,France,painting,1
2,http://www.wikidata.org/entity/Q17490991,,canvas; oil paint,landscape art,Musée d'Orsay,hill; Giverny; broad-leaved tree; cloud; Papaver rhoeas; meadow; valley; sky,Impressionism,,Paris,France,Claude Monet,male,1885,[81.0],[65.5],http://commons.wikimedia.org/wiki/Special:FilePath/Monet%20-%20Champ%20de%20coquelicots%20%3B%20environs%20de%20Giverny%2C%201885.jpg,{'nan'},Poppy Field. Around Giverny,Musée des Beaux-Arts de Rouen,,,France,painting,1
3,http://www.wikidata.org/entity/Q17493184,"Le Pont Boieldieu à Rouen, soleil couchant, temps brumeux",canvas; oil paint,landscape art,Musée d'Orsay,Rouen; chimney; mist; landscape; bridge; factory; port; Seine,Post-Impressionism; Impressionism,,Charlotte Amalie,United States of America,Camille Pissarro,male,1896,[55.0],[54.0],http://commons.wikimedia.org/wiki/Special:FilePath/Pissaro-pont-mus%C3%A9eRouen.jpg,{'nan'},"Pont Boieldieu, Rouen, Sunset, Smoke",Musée des Beaux-Arts de Rouen,,,France,painting,1
4,http://www.wikidata.org/entity/Q17494428,,canvas; oil paint,still life,Musée d'Orsay,pheasant,Impressionism,,Paris,France,Claude Monet,male,1861,[62.5],[76.0],http://commons.wikimedia.org/wiki/Special:FilePath/Monet-faisan-mus%C3%A9e%20de%20rouen.jpg,{'nan'},Still Life with Pheasant,Musée des Beaux-Arts de Rouen,,,France,painting,1
5,http://www.wikidata.org/entity/Q18689441,,canvas; oil paint,landscape art,Musée des Beaux-Arts de Rouen,hill; vegetable; haystack; greenhouse; landscape; field; factory,fauvism,,Rouen,France,Robert Antoine Pinchon,male,1921,[100.0],[74.0],http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Antoine%20Pinchon%2C%201921%2C%20Le%20Jardin%20maraicher%2C%20oil%20on%20canvas%2C%2074%20x%20100%20cm%2C%20Mus%C3%A9e%20des%20Beaux-Arts%20de%20Rouen..jpg,{'nan'},The Market Garden,Musée des Beaux-Arts de Rouen,,,France,painting,1
6,http://www.wikidata.org/entity/Q18689474,,canvas; oil paint,portrait,Musée des Beaux-Arts de Rouen,singer; dress; sitting; woman; headgear; Giuseppina Grassini,neoclassicism; Rococo,,Paris,France,Élisabeth Louise Vigée Le Brun,female,1805,[99.0],[133.0],http://commons.wikimedia.org/wiki/Special:FilePath/Giuseppina%20Grassini%20by%20Louise%20%C3%89lisabeth%20Vig%C3%A9e%20Le%20Brun.jpg,{'nan'},Giuseppina Grassini Playing Zaire,Musée des Beaux-Arts de Rouen,,,France,painting,1
7,http://www.wikidata.org/entity/Q18809710,,canvas; oil paint,cityscape,Musée des Beaux-Arts de Rouen,fountain; human; church building; market hall; église Notre-Dame; Moret-sur-Loing; street,Impressionism,,Paris,France,Alfred Sisley,male,1893,[81.0],[65.0],http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Sisley%20038.jpg,{'nan'},The Church in Moret (full sunlight),Musée des Beaux-Arts de Rouen,,,France,painting,1
8,http://www.wikidata.org/entity/Q19327619,,oil paint,genre art,Musée des Beaux-Arts de Rouen,woman; man,Caravaggisti,,Haarlem,Netherlands,Judith Leyster,female,1633,[43.43],[54.1],http://commons.wikimedia.org/wiki/Special:FilePath/Judith%20Leyster%20A%20Game%20Of%20Cards.jpg,{'nan'},A Game Of Cards,Musée des Beaux-Arts de Rouen,,,France,painting,1
9,http://www.wikidata.org/entity/Q21013224,,oil paint; wood,self-portrait; religious art,Musée des Beaux-Arts de Rouen,Saint Apollonia; lute; angel; Gerard David; Agnes of Rome; Saint Cecilia; Dorothea of Caesarea; Child Jesus; woman; Saint Lucy; Catherine of Alexandria; Saint Fausta; manuscript; Saint Barbara; Godelina; Virgin Mary,Flemish Primitives,Gerard David; Madonna and Child,Oudewater,Netherlands,Gerard David,male,1509,[212.0],[118.0],http://commons.wikimedia.org/wiki/Special:FilePath/David%20Virgin%20among%20the%20Virgins.jpg,{'nan'},Virgin among the Virgins,Musée des Beaux-Arts de Rouen,,,France,painting,1
