,artwork,titleLabel,materialLabel,genreLabel,collectionLabel,depictLabel,movementLabel,subjectLabel,creatorBirthPlaceLabel,creatorCountryLabel,creatorLabel,genderLabel,inceptionLabel,widthLabel,heightLabel,image,startTime,artworkLabel,locLabel,locatedLabel,endTime,countryLabel,instanceOfLabel,num_creators
0,http://www.wikidata.org/entity/Q16038659,,canvas; oil paint,history painting,Musée des Augustins,bed; suicide; Cato the Younger; sword,academic art,,Fourquevaux,France,Jean-Paul Laurens,male,1863,[204.0],[158.0],http://commons.wikimedia.org/wiki/Special:FilePath/Laurens%20Caton%20d%27Utique%20%28RO%20147%29.jpeg,{'nan'},The Suicide of Cato the Younger,Musée des Augustins,,,France,painting,1
1,http://www.wikidata.org/entity/Q17355521,Saint Jean Chrysostome et l'Impératrice Eudoxie,canvas; oil paint,religious art,Musée des Augustins,pulpit; Aelia Eudoxia; John Chrysostom,academic art,,Fourquevaux,France,Jean-Paul Laurens,male,1893,[164.0],[131.0],http://commons.wikimedia.org/wiki/Special:FilePath/Augustins%20-%20Saint%20Jean%20Chrysostome%20et%20l%27Imp%C3%A9ratrice%20Eudoxie%20-%20Jean%20Paul%20Laurens%202004%201%20156.jpg,{'nan'},Saint John Chrysostom and the Empress Eudoxia,Musée des Augustins,,,France,painting,1
3,http://www.wikidata.org/entity/Q17582422,,canvas; oil paint,self-portrait,Musée des Augustins,painter; Antoine-Jean Gros; hat,neoclassicism; Pre-romanticism,Antoine-Jean Gros,Paris,France,Antoine-Jean Gros,male,1775,[50.0],[61.0],http://commons.wikimedia.org/wiki/Special:FilePath/Gros%20Portrait%20%C3%A0%20l%27%C3%A2ge%20de%20vingt%20ans%20%28RO%20109%29.jpg,{'nan'},Q17582422,Musée des Augustins,,,France,painting,1
4,http://www.wikidata.org/entity/Q17582449,Buffle surpris par un tigre,canvas; oil paint,animal art,Musée des Augustins,tiger attack; reed; Tiger; Bubalus; stripe; shore; plant; combat; Bubalina; bite; swamp; body of water; blood,Realism,,Antwerp,Belgium,Charles Verlat,male,1853,[300.0],[200.0],http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20VERLAT%20-%20Buffle%20surpris%20par%20un%20tigre%20-%20Mus%C3%A9e%20des%20Augustins%20-%202004%201%20199.jpg,{'nan'},Q17582449,Musée des Augustins,,,France,painting,1
5,http://www.wikidata.org/entity/Q17582457,,oil paint; wood,religious art,Musée des Augustins,eroticism; Noah; couple; Noah's Ark; banquet; music,Mannerism,,Haarlem,Netherlands,Cornelis van Haarlem,male,1615,[155.0],[112.0],http://commons.wikimedia.org/wiki/Special:FilePath/Cornelisz%20Humanit%C3%A9%20%282004%201%2058%29.jpg,{'nan'},Q17582457,Musée des Augustins,,,France,painting,1
6,http://www.wikidata.org/entity/Q17582461,Le massage,canvas; oil paint,genre art; nude,Musée des Augustins,fountain; niche; buttocks; black people; headscarf; standing; long hair; White people; massage; toplessness; lying; intergluteal cleft; black hair; areola; azulejo; back; Turkish bath; woman; tap; sink; washing; nudity; Dimples of Venus; breast,academic art,washing,Toulouse,France,Édouard Debat-Ponsan,male,1883,[210.0],[127.0],http://commons.wikimedia.org/wiki/Special:FilePath/Augustins%20-%20Le%20Massage.%20Sc%C3%A8ne%20de%20hammam%20-%20Edouard%20Debat-Ponsan%201883.jpg,{'nan'},Q17582461,Musée des Augustins,,,France,painting,1
7,http://www.wikidata.org/entity/Q17582465,Portrait de Madame Auguste Bonheur,canvas; oil paint,portrait,Musée des Augustins,old age; woman,Symbolism,,Gournay-sur-Marne,France,Eugène Carrière,male,1901,[46.0],[56.0],http://commons.wikimedia.org/wiki/Special:FilePath/Augustins%20-%20Portrait%20de%20Madame%20Auguste%20Bonheur%20-%20Eug%C3%A8ne%20Carri%C3%A8re%2048%206%201.jpg,{'nan'},Q17582465,Musée des Augustins,,,France,painting,1
8,http://www.wikidata.org/entity/Q17582474,La Mort de Ravana,canvas; oil paint,history painting,Musée des Augustins,couple; woman; cadaver; Ravana; death,academic art,,Paris,France,Fernand Cormon,male,1875,[260.0],[180.0],http://commons.wikimedia.org/wiki/Special:FilePath/Fernand%20CORMON%20-%20La%20Mort%20de%20Ravana%20-%20Mus%C3%A9e%20des%20Augustins%20-%202004%201%20139.jpg,{'nan'},Q17582474,Musée des Augustins,,,France,painting,1
9,http://www.wikidata.org/entity/Q17582477,,canvas; oil paint,religious art,Musée des Augustins,domestic worker; sword; Holofernes; fortification; Judith; family; woman; child,Baroque painting,,Florence,Italy,Francesco Curradi,male,1630,[292.0],[232.0],http://commons.wikimedia.org/wiki/Special:FilePath/Curradi%20Judith%20%282004%201%2048%29.jpg,{'nan'},Q17582477,Musée des Augustins,,,France,painting,1
10,http://www.wikidata.org/entity/Q17582479,,canvas; oil paint,veduta,Musée des Augustins,Rialto Bridge,Rococo,,Venice,Italy,Francesco Guardi,male,1760,[93.0],[62.0],http://commons.wikimedia.org/wiki/Special:FilePath/Guardi%20Pont%20Rialto%20%282004%201%20311%29.jpg,{'nan'},The Rialto-Bridge in Venice,Musée des Augustins,,,France,painting,1
