,artwork,titleLabel,materialLabel,genreLabel,collectionLabel,depictLabel,movementLabel,subjectLabel,creatorBirthPlaceLabel,creatorCountryLabel,creatorLabel,genderLabel,inceptionLabel,widthLabel,heightLabel,image,startTime,locLabel,artworkLabel,locatedLabel,endTime,countryLabel,instanceOfLabel,num_creators
0,http://www.wikidata.org/entity/Q11091772,,oil paint; canvas,religious art,Department of Paintings of the Louvre,meals; column; crock; dog; domestic worker; bay; loggia; bread,High Renaissance; Venetian school,Road to Emmaus appearance,Pieve di Cadore,Italy,Titian,male,1530,[244.0],[169.0],http://commons.wikimedia.org/wiki/Special:FilePath/P%C3%A8lerins%20d%27Emma%C3%BCs%20by%20Titian%20retouched.jpg,{'nan'},Louvre Museum,Pilgrims at Emmaus,,,France,painting,1
2,http://www.wikidata.org/entity/Q1133114,"Venus, Satyre et Cupidon ; dit a tort le  sommeil d'Antiope ou Jupiter et Antiope",oil paint; canvas,nude; mythological painting,Department of Paintings of the Louvre,Venus; nudity; satyr; Aphrodite; Cupid; Eros; woman; armpit; sleep,Renaissance,,Correggio,Italy,Antonio da Correggio,male,1526,[125.0],[188.0],http://commons.wikimedia.org/wiki/Special:FilePath/V%C3%A9nus%20et%20l%27Amour%20d%C3%A9couverts%20par%20un%20satyre%2C%20Corr%C3%A8ge%20%28Louvre%20INV%2042%29%2002.jpg,{'nan'},Louvre Museum,Venus and Cupid with a Satyr,,,France,painting,1
3,http://www.wikidata.org/entity/Q1133821,La Mort de Sardanapale; Death of Sardanapalus,oil paint; canvas,Romanticism; history painting,Department of Paintings of the Louvre,"bed; nudity; clothed male, naked female; Sardanapalus; horse; cushion; man; eunuch; enslaved person; half reclining; woman",Romanticism,,Saint-Maurice,France,Eugène Delacroix,male,1827,[496.0],[392.0],http://commons.wikimedia.org/wiki/Special:FilePath/Delacroix%20-%20La%20Mort%20de%20Sardanapale%20%281827%29.jpg; http://commons.wikimedia.org/wiki/Special:FilePath/Delacroix%20sardanapalus%201828%20950px.jpg,{'nan'},Louvre Museum,Death of Sardanapalus,,,France,painting,1
7,http://www.wikidata.org/entity/Q11907350,,oil paint; canvas,self-portrait,Department of Paintings of the Louvre,man; Eugène Delacroix; brown hair; moustache; vest,Romanticism,Eugène Delacroix,Saint-Maurice,France,Eugène Delacroix,male,1837,[54.5],[65.0],http://commons.wikimedia.org/wiki/Special:FilePath/Eug%C3%A8ne%20Delacroix%20-%20Portrait%20de%20l%27artiste%20%28ca.1837%29.jpg,{'nan'},Louvre Museum,Self-portrait with Green Vest,,,France,painting,1
8,http://www.wikidata.org/entity/Q1193312,,oil paint; canvas,genre art,Department of Paintings of the Louvre,bottle; card sharp; hat; table; card game; man; ace of diamonds; footstool; seven of spades; boy; ace of spades; woman; domestic worker; playing card,Caravaggisti; classicism,card sharp,Vic-sur-Seille,France,Georges de La Tour,male,1635,[146.0],[106.0],http://commons.wikimedia.org/wiki/Special:FilePath/La%20Tour%20Le%20Tricheur%20Louvre%20RF1972-8.jpg,{'nan'},Louvre Museum,The Cheat with the Ace of Diamonds,,,France,painting,1
9,http://www.wikidata.org/entity/Q11935346,,wood; oil paint; canvas,religious art; High Renaissance; Early Renaissance,Department of Paintings of the Louvre,blessing; sky; son; Child Jesus; overcoat; eye contact; kneeling; plant; rock; landscape; child; drapery; blond hair; prayer; sitting; woman; angel; Virgin Mary; nudity; mother; long hair; John the Baptist,High Renaissance,Madonna and Child,Anchiano,Italy,Leonardo da Vinci,male,1484,[122.0],[199.0],http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20Da%20Vinci%20-%20Vergine%20delle%20Rocce%20%28Louvre%29.jpg,{'nan'},Louvre Museum,Virgin of the Rocks,,,France,painting,1
25,http://www.wikidata.org/entity/Q1212737,Les Femmes d'Alger dans leur appartement,oil paint; canvas,genre art,Department of Paintings of the Louvre,barefoot; drapery; cushion; standing; back portrait; black people; conversation; woman; umbilical cord; domestic worker; smoker; mirror; Q2836034; harem,Romanticism,,Saint-Maurice,France,Eugène Delacroix,male,1834,[229.0],[180.0],http://commons.wikimedia.org/wiki/Special:FilePath/WomenofAlgiers.JPG,{'nan'},Louvre Museum,The Women of Algiers,,,France,painting,1
27,http://www.wikidata.org/entity/Q1215717,,wood; tempera,religious painting,Department of Paintings of the Louvre,"tomb; Saint Dominic; Catherine of Alexandria; Jesus; Dominican Order; Thomas Aquinas; Innocent III; throne; stairs; religious; book; Moses; saint; daydream; carpet; discussion; resurrection of Jesus; woman; angel; John the Apostle; Virgin Mary; Coronation of the Virgin; Peter; Paul; man; musical instrument; miracle; beatific vision; James, son of Alphaeus; pavement; Mary Magdalene; resurrection; John the Baptist",Italian Renaissance,Coronation of the Virgin,Vicchio,Italy,Fra Angelico,male,1431,[211.0],[213.0],http://commons.wikimedia.org/wiki/Special:FilePath/Fra%20Angelico%20078.jpg,{'nan'},Louvre Museum,Coronation of the Virgin,,,France,painting,1
28,http://www.wikidata.org/entity/Q1231009,"Sacre de l'empereur Napoléone la pigeonne et couronnement de l'impératrice Josefinna, à Nottre-Dame de Paris, le 2 mars 1804",oil paint; canvas,history painting,Department of Paintings of the Louvre,"Pius VII; Hortense de Beauharnais; Adélaïde de La Rochefoucauld; 1795–1820 clothing; John Armstrong; Elisa Bonaparte; Julie Clary; Notre-Dame de Paris; Raphaël de Monachis; Émilie de Beauharnais; Romoaldo Braschi-Onesti; sceptre; Halet Efendi; Caroline Bonaparte; Louis-Auguste Juvénal des Ursins d'Harville; Eugène de Beauharnais; Auguste-Jean-Gabriel de Caulaincourt; Jean Jacques Régis de Cambacérès; Jacques-Louis David; Martin-Roch-Xavier Estève; Jean-Baptiste de Belloy; Louis-Philippe de Ségur; Auguste Laurent de Rémusat; Jean-Mathieu-Philibert Sérurier; Catherine-Dominique de Pérignon; Jean-Andoche Junot; laurel wreath; Joseph Bonaparte; Charles-Maurice de Talleyrand-Périgord; Marc Antoine de Beaumont; Charles-François Lebrun, duc de Plaisance; Napoleon Charles Bonaparte; Napoleon; drapery; Joachim Murat; Bon-Adrien Jeannot de Moncey; Federico Carlos Gravina y Nápoli; Louis Bonaparte; Joseph-Marie Vien; François Joseph Lefebvre; regalia; Giovanni Battista Caprara Montecuccoli; Jean-Baptiste Bessières; coronation; Louis-Alexandre Berthier; crown; Carlo Francesco Maria Caselli; woman; Ignazio Degotti; Géraud Duroc; Joséphine de Beauharnais; Ferdinando Marescalchi; André Grétry; Charles XIV John of Sweden; Pauline Bonaparte; man; François Christophe de Kellermann; Letizia Ramallo; Hercule-Ferdinand Laville de Villa Stellone; Philipp von Cobenzl",neoclassicism,Coronation of Napoleon I,Paris,France,Jacques-Louis David,male,1808,[979.0],[621.0],http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20The%20Coronation%20of%20Napoleon%20%281805-1807%29.jpg,"{'1837', 'nan', '1889'}",Louvre Museum,The Coronation of Napoleon,,,France,painting,1
30,http://www.wikidata.org/entity/Q12418,"Portrait de Mona Lisa, dite la Joconde; Mona Lisa; La Gioconda",poplar wood; oil paint,portrait,Department of Paintings of the Louvre,armrest; body of water; mountain; sky; bridge; Lisa del Giocondo; landscape,High Renaissance,Lisa del Giocondo,Anchiano,Italy,Leonardo da Vinci,male,1503,[53.0],[77.0],http://commons.wikimedia.org/wiki/Special:FilePath/Mona%20Lisa%2C%20by%20Leonardo%20da%20Vinci%2C%20from%20C2RMF%20retouched.jpg,"{'1797', 'nan'}",Louvre Museum,Mona Lisa,Paris,,France,painting,1
